commodity,unit,minimum_price_raw,maximum_price_raw,average_price_raw,market,price_date,source,source_url,collected_at
भन्टा लाम्चो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044345-05:00
भन्टा डल्लो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044398-05:00
बोडी(तने),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044451-05:00
मकै बोडी,केजी,रू ८०.००,रू ९०.००,रू ८५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044504-05:00
घिउ सिमी(लोकल),के.जी.,रू १२०.००,रू १४०.००,रू १३४.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044557-05:00
घिउ सिमी(हाइब्रीड),केजी,रू १२०.००,रू १४०.००,रू १३१.६७,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044610-05:00
घिउ सिमी(राजमा),केजी,रू १५०.००,रू १६०.००,रू १५५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044661-05:00
टाटे सिमी,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044713-05:00
भटमासकोशा,के.जी.,रू ८०.००,रू १००.००,रू ८६.६७,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044766-05:00
तितो करेला,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044817-05:00
लौका,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044869-05:00
परवर(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044921-05:00
परवर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044972-05:00
चिचिण्डो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045024-05:00
घिरौला,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045081-05:00
झिगूनी,के.जी.,रू ७०.००,रू ८०.००,रू ७६.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045135-05:00
फर्सी पाकेको,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045187-05:00
हरियो फर्सी(डल्लो),केजी,रू ७०.००,रू ९०.००,रू ८३.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045238-05:00
भिण्डी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045289-05:00
सखरखण्ड,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045339-05:00
पिंडालू,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045390-05:00
स्कूस,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045442-05:00
रायो साग,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045493-05:00
पालूगो साग,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045546-05:00
तोरीको साग,के.जी.,रू १००.००,रू १५०.००,रू १२५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045591-05:00
प्याज हरियो,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045635-05:00
च्याउ(कन्य),के.जी.,रू २४०.००,रू २८०.००,रू २५८.३३,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045686-05:00
च्याउ(डल्ले),के जी,रू ५००.००,रू ५५०.००,रू ५२५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045733-05:00
राजा च्याउ,के.जी.,रू ३००.००,रू ३२०.००,रू ३१०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045778-05:00
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045821-05:00
कुरीलो,के.जी.,रू ४००.००,रू ५००.००,रू ४३७.५०,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045866-05:00
न्यूरो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045910-05:00
ब्रोकाउली,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045953-05:00
चुकुन्दर,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.045996-05:00
सजिवन,के.जी.,रू २५०.००,रू ३००.००,रू २७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046039-05:00
रातो बन्दा,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046082-05:00
जिरीको साग,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046127-05:00
सेलरी,के.जी.,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046173-05:00
पार्सले,के.जी.,रू ४००.००,रू ५००.००,रू ४५०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046216-05:00
सौफको साग,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046259-05:00
पुदीना,के.जी.,रू ३००.००,रू ४००.००,रू ३५०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046304-05:00
गान्टे मूला,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046348-05:00
इमली,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046393-05:00
तामा,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046436-05:00
तोफु,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046480-05:00
गुन्दुक,के.जी.,रू ३००.००,रू ३५०.००,रू ३२५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046526-05:00
स्याउ(फूजी),के जी,रू २८०.००,रू ३००.००,रू २९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046569-05:00
केरा(नेपाली),दर्जन,रू २००.००,रू ३००.००,रू २५०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046612-05:00
केरा(मालभोग),दर्जन,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046655-05:00
कागती,के.जी.,रू १४०.००,रू १८०.००,रू १६५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046698-05:00
अनार,के.जी.,रू ४५०.००,रू ५००.००,रू ४७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046740-05:00
आँप(मालदह),के.जी.,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046784-05:00
आँप(दसहरी),केजी,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046827-05:00
तरबुजा(हरियो),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046880-05:00
जुनार,के.जी.,रू २७०.००,रू ३००.००,रू २८५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046925-05:00
भुई कटहर,प्रति गोटा,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.046968-05:00
काक्रो(लोकल),के.जी.,रू ४०.००,रू ६०.००,रू ५०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047012-05:00
काक्रो(हाइब्रीड),के जी,रू १५.००,रू २५.००,रू १८.७५,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047055-05:00
काक्रो(लोकलक्रस),के.जी.,रू ४०.००,रू ६०.००,रू ५०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047098-05:00
रुख कटहर,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047141-05:00
नासपाती(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047185-05:00
मेवा(नेपाली),के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047228-05:00
मेवा(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047272-05:00
लप्सी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047316-05:00
आभोकाडो,के.जी,रू ७००.००,रू ८००.००,रू ७५०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047360-05:00
अमला,के.जी,रू २४०.००,रू २८०.००,रू २६०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047403-05:00
नरिवल(काँचो),के जी,रू ६०.००,रू ८०.००,रू ७०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047449-05:00
नरिवल(हरियो),के जी,रू १५०.००,रू १७०.००,रू १६०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047492-05:00
ड्रागन फ्रुट(नेपाली),के.जी.,रू ३५०.००,रू ४००.००,रू ३७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047536-05:00
अदुवा,के.जी.,रू २००.००,रू २३०.००,रू २१३.७५,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047579-05:00
खु्र्सानी सुकेको,के.जी.,रू ५००.००,रू ५५०.००,रू ५२२.५०,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047622-05:00
खुर्सानी हरियो(लाम्चो),के जी,रू ८०.००,रू ९०.००,रू ८५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047665-05:00
खुर्सानी हरियो(बुलेट),के जी,रू ८०.००,रू ९०.००,रू ८५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047708-05:00
खुर्सानी हरियो(माछे),के जी,रू ६०.००,रू ७०.००,रू ६५.७१,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047751-05:00
खुर्सानी हरियो(अकबरे),के जी,रू १५०.००,रू २५०.००,रू १९१.६७,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047793-05:00
भेडे खु्र्सानी,के.जी.,रू ८०.००,रू १००.००,रू ८८.३३,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047836-05:00
लसुन हरियो,के.जी.,रू १००.००,रू १५०.००,रू १२५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047879-05:00
हरियो धनिया,के.जी.,रू ३००.००,रू ३५०.००,रू ३२५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047922-05:00
लसुन सुकेको चाइनिज,के.जी.,रू २००.००,रू २४०.००,रू २१७.५०,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.047965-05:00
लसुन सुकेको नेपाली,के.जी.,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.048009-05:00
छ्यापी सुकेको,के.जी.,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.048051-05:00
माछा सुकेको,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.048094-05:00
ताजा माछा(रहु),के जी,रू ३२०.००,रू ३४०.००,रू ३३०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.048137-05:00
ताजा माछा(बचुवा),के जी,रू २८०.००,रू ३००.००,रू २९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.048180-05:00
ताजा माछा(छडी),के जी,रू २८०.००,रू ३००.००,रू २९०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.048227-05:00
