commodity,unit,minimum_price_raw,maximum_price_raw,average_price_raw,market,price_date,source,source_url,collected_at
गोलभेडा ठूलो(नेपाली),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.043481-05:00
गोलभेडा सानो(लोकल),के.जी.,रू १५.००,रू २०.००,रू १६.८३,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.043596-05:00
गोलभेडा सानो(टनेल),के जी,रू २०.००,रू ३०.००,रू २५.०८,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.043658-05:00
आलु रातो(लाम्चो),के.जी.,रू ४८.००,रू ५२.००,रू ५०.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.043713-05:00
रातो आलु(गोलो),के जी,रू ४८.००,रू ५३.००,रू ५०.५०,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.043767-05:00
आलु रातो(मुडे),केजी,रू ४८.००,रू ५३.००,रू ५०.५०,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.043821-05:00
आलु रातो(भारतीय),के जी,रू ३३.००,रू ३७.००,रू ३५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.043875-05:00
आलु सेतो,के.जी.,रू ३०.००,रू ३५.००,रू ३२.५०,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.043927-05:00
प्याज सुकेको (भारतीय),के.जी.,रू ५४.००,रू ५७.००,रू ५५.५०,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.043980-05:00
गाजर(लोकल),के.जी.,रू ९०.००,रू ११०.००,रू १०१.६७,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044032-05:00
गाजर(तराई),केजी,रू ७०.००,रू ८०.००,रू ७५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044084-05:00
बन्दा(लोकल),के.जी.,रू २०.००,रू ३०.००,रू २५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044137-05:00
काउली स्थानिय,के.जी.,रू १००.००,रू १२०.००,रू १०६.६७,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044188-05:00
मूला रातो,के.जी.,रू २०.००,रू ३०.००,रू २५.००,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044240-05:00
सेतो मूला(हाइब्रीड),केजी,रू १५.००,रू २०.००,रू १७.५०,Kalimati,2026-07-30,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-30T18:13:48.044292-05:00
